action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,variance
drop,555.7070230752951,7000.0,0.1347261205926347,2272.618272425877,30336.64105077875,44.2350745526404,72550491517.79047,0.24859996646209231,butter,-1.2682614631566678,4094.0,2044.152857142857,-0.006858122588941277,2017.0,49.0,.\data\data_butter_shelf_wood_drop1.csv,684.75,3365.25,1135.3898886032562,wood,0.04348693571367393,960.415797283215,1463.5614257444474,2142012.0469271196
drop,214.05942064892585,14000.0,0.18353950312324893,5686.903340688472,22209.38833668103,72.08029383014885,128872510135.16814,0.06937408786155512,butter,0.5201351667241543,4094.0,2038.4412142857143,0.005000357168369169,2025.0,49.0,.\data\data_butter_shelf_wood_drop101.csv,1764.0,2329.5,339.2372518211684,wood,0.055357871889468266,501.0825147613751,965.0457740796372,931313.3460689663
drop,362.3053461211629,13000.0,0.1488106162112274,4914.048908860955,27428.006349943542,66.1899937886422,124371836006.69128,0.13453996085955502,butter,-0.09846753569332067,4094.0,2041.1032307692308,0.0006154319563043311,2030.0,48.0,.\data\data_butter_shelf_wood_drop106.csv,1775.0,2291.0,679.1262882633441,wood,0.06861507337771539,675.5186675993223,1137.676888838629,1294308.7033975422
drop,621.2149953449425,12000.0,0.11054480346082562,4433.208077454116,37525.92301189489,62.301325125293864,119788670171.15466,0.285356699551079,butter,-0.46156345121064346,4094.0,2074.4935833333334,-0.002583548629052421,2033.0,47.0,.\data\data_butter_shelf_wood_drop11.csv,1661.75,2470.25,1442.2596233961006,wood,0.06006517919171655,1071.4570240686623,1222.497115767025,1494499.1980586948
drop,290.10140319885346,13500.0,0.1383716710622002,4678.236296775559,29567.21535825798,63.54607588866227,135591747164.99376,0.09973231577985552,butter,-0.9780878346544455,4094.0,2045.9355555555555,-0.015482628342840211,2034.0,47.0,.\data\data_butter_shelf_wood_drop111.csv,1134.0,2936.0,508.0728780921345,wood,0.02378867543092238,589.5715461919262,1318.5264221529583,1738511.925915481
drop,413.31847258731943,12000.0,0.14009627009183367,4080.6330297660656,29185.467974646544,59.37091455073646,121563945501.45682,0.17596291646214465,butter,-1.0158301802741132,4094.0,2044.7283333333332,0.0007500625052087674,2031.0,49.0,.\data\data_butter_shelf_wood_drop116.csv,1062.0,2993.5,735.7107148808532,wood,0.04768559044611594,797.1942126635529,1356.9587746588186,1841337.1161235622
drop,371.17947011057555,10500.0,0.1419395966376769,3761.155405273889,28711.5018444873,57.25679937620721,102817058953.68755,0.15208660358694892,butter,-0.6631081156468728,4094.0,2038.037619047619,0.0026669206591103914,2029.0,50.0,.\data\data_butter_shelf_wood_drop121.csv,1448.75,2608.0,688.4402970862693,wood,0.04600440642169776,730.2081726831827,1251.1774182391835,1565444.9319116685
drop,391.07330679753323,12000.0,0.1327394000834563,4060.6180683490807,30735.761371634777,59.170927021388266,121360227088.66014,0.16792670613507088,butter,-1.0036295832421298,4094.0,2040.26325,0.00041670139178264854,2027.0,48.0,.\data\data_butter_shelf_wood_drop126.csv,1072.0,2936.25,667.3887685385769,wood,0.052770078334741934,769.5027051983407,1366.9609690747207,1868582.2909736997
drop,323.398948869846,9000.0,0.18416552953179122,3270.8170231732847,22095.160056042285,53.88160258148291,87336083142.17297,0.13083022428385246,butter,-0.6489639393732034,4094.0,2035.0355555555554,-0.014334926102900322,2038.0,50.0,.\data\data_butter_shelf_wood_drop131.csv,1345.5,2672.0,578.7602754943346,wood,0.0562439304344501,668.2915855171494,1215.667105435142,1477846.511237057
drop,373.91322461938165,6000.0,0.16162198702463895,1960.1738464897908,25410.365163606486,41.27083971793305,62675945259.626366,0.14457537165847603,butter,-1.253649603431452,4094.0,2054.1213333333335,0.0020003333888981498,2044.0,51.0,.\data\data_butter_shelf_wood_drop136.csv,723.75,3345.25,718.0939686771077,wood,0.03230288207573835,698.3196909451676,1455.5574143637673,2118647.386509336
